Date,Close/Last,Volume,Open,High,Low
04/26/2024,$60.16,11045220,$60.11,$60.39,$60.00
04/25/2024,$60.21,19262950,$60.05,$60.53,$59.8325
04/24/2024,$59.87,18529140,$58.975,$60.04,$58.81
04/23/2024,$59.09,17963950,$60.25,$60.35,$58.555
04/22/2024,$60.14,14909980,$59.56,$60.395,$59.04
04/19/2024,$59.53,14165800,$59.45,$59.67,$58.97
04/18/2024,$59.26,12061540,$59.83,$59.935,$59.22
04/17/2024,$59.65,15329690,$60.15,$60.43,$59.57
04/16/2024,$59.84,14726260,$60.03,$60.29,$59.78
04/15/2024,$59.93,10557180,$60.51,$60.70,$59.91
04/12/2024,$60.14,12280570,$60.00,$60.72,$59.95
04/11/2024,$60.09,10987600,$60.75,$60.89,$60.07
04/10/2024,$60.62,15097560,$59.62,$60.76,$59.39
04/09/2024,$59.79,10015920,$59.87,$59.97,$59.30
04/08/2024,$59.78,11070120,$59.60,$60.04,$59.42
04/05/2024,$59.85,10335910,$59.55,$60.04,$59.49
04/04/2024,$59.50,14436130,$59.54,$59.81,$59.29
04/03/2024,$59.43,14615100,$59.38,$59.50,$58.94
04/02/2024,$59.16,19510120,$59.90,$60.10,$58.88
04/01/2024,$60.00,13837600,$60.31,$60.76,$59.93
03/28/2024,$60.17,17535100,$60.66,$60.77,$60.16
03/27/2024,$60.72,14363410,$60.87,$61.05,$60.38
03/26/2024,$60.51,13738340,$60.46,$60.83,$60.23
03/25/2024,$60.57,14186630,$60.87,$60.985,$60.36
03/22/2024,$60.87,14029440,$61.32,$61.526,$60.85
03/21/2024,$61.45,14265870,$61.28,$61.655,$61.05
03/20/2024,$61.25,12007590,$60.84,$61.28,$60.74
03/19/2024,$60.87,12353620,$60.97,$61.07,$60.60
03/18/2024,$60.86,16801660,$60.69,$60.90,$60.39
03/15/2024,$60.68,50946330,$60.68,$61.15,$60.46
03/14/2024,$61.02,16584660,$61.28,$61.44,$60.595
03/13/2024,$61.28,15935190,$61.26,$61.455,$60.88
03/12/2024,$61.41,16613060,$60.95,$61.565,$60.645
03/11/2024,$60.66,14153970,$60.10,$60.71,$59.87
03/08/2024,$60.12,12143650,$60.00,$60.28,$59.73
03/07/2024,$60.36,16195300,$61.00,$61.0699,$60.345
03/06/2024,$60.57,12698710,$60.12,$60.62,$60.04
03/05/2024,$60.04,19676880,$59.87,$60.34,$59.575
03/04/2024,$59.30,16033300,$58.50,$59.39,$58.40
03/01/2024,$58.76,19030920,$58.80,$58.85,$58.20
02/29/2024,$58.61,29245140,$59.45,$59.49,$58.59
02/28/2024,$59.62,14803290,$59.55,$59.76,$59.31
02/27/2024,$59.59,18012750,$59.64,$59.80,$59.22
02/26/2024,$59.60,32154770,$59.12,$59.84,$58.18
02/23/2024,$58.52,74365777,$58.6967,$59.2167,$58.4367
02/22/2024,$58.47,29512938,$57.96,$58.49,$57.77
02/21/2024,$57.90,40551544,$58.3333,$58.5267,$57.60
02/20/2024,$58.62,71788627,$59.4933,$60.45,$58.41
02/16/2024,$56.7867,22373543,$56.7633,$57.31,$56.43
02/15/2024,$56.43,16948859,$56.60,$56.6167,$55.99
02/14/2024,$56.20,18484604,$56.25,$56.2917,$55.8467
02/13/2024,$56.38,18574217,$56.8733,$57.0233,$56.09
02/12/2024,$56.7667,14795041,$56.41,$56.7867,$56.35
02/09/2024,$56.4267,14329867,$56.4633,$56.5767,$56.3067
02/08/2024,$56.4567,14427928,$56.46,$56.85,$56.38
02/07/2024,$56.46,17082467,$56.7567,$56.8867,$56.40
02/06/2024,$56.6033,14189785,$56.2633,$56.65,$56.1133
02/05/2024,$56.22,19145072,$56.67,$56.67,$56.0233
02/02/2024,$56.5233,21670688,$56.05,$56.8583,$55.9733
02/01/2024,$56.1033,20792555,$55.2333,$56.118,$55.06
01/31/2024,$55.0833,26134878,$55.9333,$55.9333,$55.0367
01/30/2024,$55.1967,15270014,$54.90,$55.2683,$54.54
