Date,Close/Last,Volume,Open,High,Low
01/17/2024,$3.4917,5702695,$3.4917,$3.5167,$3.4667
01/16/2024,$3.50,6319428,$3.5833,$3.5833,$3.4833
01/12/2024,$3.675,4579306,$3.70,$3.725,$3.6583
01/11/2024,$3.6417,6844079,$3.6667,$3.6667,$3.625
01/10/2024,$3.6667,12665257,$3.6833,$3.6917,$3.625
01/09/2024,$3.7667,11871759,$3.9417,$3.9583,$3.7667
01/08/2024,$4.0167,8017332,$3.9833,$4.0472,$3.9512
01/05/2024,$3.9583,5254110,$3.925,$3.975,$3.925
01/04/2024,$3.9333,4153111,$3.95,$3.9667,$3.9167
01/03/2024,$3.9667,4829013,$3.9833,$4.00,$3.95
01/02/2024,$4.00,5903008,$4.0417,$4.0833,$3.9833
12/29/2023,$4.0417,3652348,$4.05,$4.05,$4.0083
12/28/2023,$4.0833,4868358,$4.0667,$4.1042,$4.0591
12/27/2023,$4.0667,3683086,$4.075,$4.10,$4.0625
12/26/2023,$4.0917,2402761,$4.0833,$4.10,$4.075
12/22/2023,$4.0583,3502697,$4.0583,$4.0833,$4.0334
12/21/2023,$4.0083,4194883,$3.9833,$4.0167,$3.975
12/20/2023,$3.875,7770558,$3.9583,$3.9917,$3.875
12/19/2023,$3.9333,7642065,$4.00,$4.0333,$3.925
12/18/2023,$4.025,9589154,$4.025,$4.10,$4.0083
12/15/2023,$3.9417,11890844,$3.975,$3.9917,$3.9417
12/14/2023,$3.9917,5509408,$3.9417,$4.0167,$3.9417
12/13/2023,$3.9167,5665396,$3.8167,$3.925,$3.7875
12/12/2023,$3.80,4655167,$3.825,$3.8333,$3.775
12/11/2023,$3.8083,3033485,$3.7833,$3.825,$3.7833
12/08/2023,$3.80,3915375,$3.7417,$3.8417,$3.7417
12/07/2023,$3.7917,5729757,$3.8333,$3.8333,$3.7833
12/06/2023,$3.7917,9690635,$3.8333,$3.8417,$3.775
12/05/2023,$3.7667,5926643,$3.7333,$3.7833,$3.7083
12/04/2023,$3.725,15435181,$3.7583,$3.7583,$3.7083
12/01/2023,$3.7917,9591113,$3.70,$3.85,$3.6917
11/30/2023,$3.7167,14156437,$3.75,$3.75,$3.6917
11/29/2023,$3.7917,7456504,$3.8167,$3.825,$3.7843
11/28/2023,$3.8333,8514238,$3.7833,$3.875,$3.7667
11/27/2023,$3.7667,5554888,$3.825,$3.8333,$3.7667
11/24/2023,$3.8417,3683437,$3.8667,$3.8708,$3.8267
11/22/2023,$3.9583,3898996,$4.0083,$4.0167,$3.95
11/21/2023,$3.9917,6469403,$4.00,$4.025,$3.9833
11/20/2023,$3.95,7508844,$4.00,$4.025,$3.9333
11/17/2023,$4.1833,9141875,$4.1417,$4.2083,$4.1417
11/16/2023,$4.1583,5791101,$4.1333,$4.1833,$4.1125
11/15/2023,$4.125,3024353,$4.1333,$4.1667,$4.1167
11/14/2023,$4.1417,7595958,$4.125,$4.1833,$4.125
11/13/2023,$3.9917,9389846,$4.0167,$4.0333,$3.9667
11/10/2023,$4.0167,11402999,$3.925,$4.0333,$3.9125
11/09/2023,$3.8333,7266918,$3.8917,$3.925,$3.80
11/08/2023,$3.85,6699611,$3.8833,$3.9125,$3.8417
11/07/2023,$3.9083,9503171,$3.975,$4.00,$3.8792
11/06/2023,$3.9167,6179033,$3.90,$3.9833,$3.8958
11/03/2023,$3.8917,8229874,$3.8667,$3.9083,$3.85
11/02/2023,$3.825,4035303,$3.7417,$3.8333,$3.7417
11/01/2023,$3.7083,7708770,$3.6583,$3.725,$3.6292
10/31/2023,$3.6167,5778300,$3.6083,$3.65,$3.60
10/30/2023,$3.6167,6781918,$3.6667,$3.6958,$3.5875
10/27/2023,$3.6333,6456630,$3.725,$3.7333,$3.6333
10/26/2023,$3.65,6127477,$3.5833,$3.6583,$3.5792
10/25/2023,$3.575,6403368,$3.60,$3.60,$3.5375
10/24/2023,$3.5917,5265706,$3.6167,$3.6417,$3.5833
10/23/2023,$3.6167,7313391,$3.5417,$3.65,$3.5333
10/20/2023,$3.55,5534645,$3.5417,$3.5667,$3.50
10/19/2023,$3.575,5100301,$3.575,$3.625,$3.5583
10/18/2023,$3.5667,9072212,$3.6667,$3.6667,$3.5583
10/17/2023,$3.70,4634598,$3.6583,$3.7458,$3.6542
10/16/2023,$3.7417,4389575,$3.725,$3.7667,$3.70
10/13/2023,$3.675,16841005,$3.6333,$3.6917,$3.6333
10/12/2023,$3.6167,4473317,$3.7083,$3.7083,$3.5917
10/11/2023,$3.70,4053193,$3.7375,$3.7422,$3.675
10/10/2023,$3.7083,4693980,$3.6833,$3.725,$3.6583
10/09/2023,$3.65,4774230,$3.5917,$3.6583,$3.5833
10/06/2023,$3.6583,8112676,$3.5917,$3.6667,$3.5833
10/05/2023,$3.6417,5672861,$3.6833,$3.70,$3.6083
10/04/2023,$3.7083,7933100,$3.775,$3.775,$3.6833
10/03/2023,$3.7417,7897294,$3.85,$3.8899,$3.7042
10/02/2023,$3.875,4814817,$3.9583,$3.975,$3.8583
09/29/2023,$3.975,9093880,$4.0292,$4.0417,$3.9625
09/28/2023,$4.0083,9045203,$4.00,$4.0417,$3.975
09/27/2023,$4.0083,6664203,$4.05,$4.0833,$4.00
09/26/2023,$4.05,8702926,$4.0417,$4.125,$4.0417
09/25/2023,$4.0583,7484313,$4.0417,$4.075,$4.0333
09/22/2023,$4.075,5292472,$4.15,$4.175,$4.0667
09/21/2023,$4.0917,6154594,$4.0917,$4.1542,$4.0833
09/20/2023,$4.25,4188664,$4.2417,$4.3125,$4.2417
09/19/2023,$4.1917,8757936,$4.2667,$4.2917,$4.1667
09/18/2023,$4.2833,5407786,$4.375,$4.375,$4.275
09/15/2023,$4.3667,5895376,$4.40,$4.4083,$4.3583
09/14/2023,$4.3917,10663600,$4.3583,$4.4083,$4.3292
09/13/2023,$4.2833,10085397,$4.3167,$4.3583,$4.2833
09/12/2023,$4.3083,4619424,$4.2417,$4.3167,$4.2333
09/11/2023,$4.2917,6995419,$4.2833,$4.3083,$4.2458
09/08/2023,$4.20,9213862,$4.1583,$4.2333,$4.15
09/07/2023,$4.15,5393884,$4.1833,$4.2333,$4.1083
09/06/2023,$4.225,11867847,$4.2833,$4.333,$4.2167
09/05/2023,$4.2833,7269163,$4.30,$4.3167,$4.2583
09/01/2023,$4.375,5119563,$4.45,$4.4625,$4.3417
08/31/2023,$4.3417,6100691,$4.3833,$4.3917,$4.3083
08/30/2023,$4.40,7943100,$4.4333,$4.4417,$4.3833
08/29/2023,$4.3833,6506109,$4.2833,$4.3917,$4.2833
08/28/2023,$4.2917,11165604,$4.2333,$4.30,$4.20
08/25/2023,$4.20,5788277,$4.20,$4.2333,$4.1667
08/24/2023,$4.20,11384424,$4.2083,$4.2484,$4.175
08/23/2023,$4.2917,6688879,$4.20,$4.3333,$4.20
08/22/2023,$4.2167,5465773,$4.20,$4.2333,$4.1833
08/21/2023,$4.1167,4815088,$4.125,$4.1667,$4.0917
08/18/2023,$4.2417,6819787,$4.2083,$4.2583,$4.1833
08/17/2023,$4.25,5684806,$4.3333,$4.35,$4.2333
08/16/2023,$4.2667,13866505,$4.2667,$4.3625,$4.2667
08/15/2023,$4.275,10714130,$4.2833,$4.3167,$4.2583
08/14/2023,$4.3167,12639925,$4.3167,$4.3375,$4.25
08/11/2023,$4.3167,10131182,$4.3667,$4.40,$4.30
08/10/2023,$4.3833,10588390,$4.4167,$4.4583,$4.375
08/09/2023,$4.35,12479700,$4.4583,$4.4833,$4.3417
08/08/2023,$4.5417,18144925,$4.5583,$4.5833,$4.5083
08/07/2023,$4.6667,19055773,$4.70,$4.70,$4.6292
08/04/2023,$4.775,20747389,$4.8833,$4.9167,$4.7583
08/03/2023,$4.7833,15198865,$4.9167,$4.9542,$4.775
08/02/2023,$4.9417,5327307,$5.00,$5.0083,$4.8917
08/01/2023,$5.0333,5363935,$5.0583,$5.0958,$5.0292
07/31/2023,$5.125,6529179,$5.0083,$5.1333,$5.0082
07/28/2023,$4.9667,5192223,$4.925,$5.0125,$4.8917
07/27/2023,$4.975,6253709,$5.0333,$5.0417,$4.9667
07/26/2023,$5.0917,7649736,$5.0917,$5.1292,$5.0417
07/25/2023,$5.0583,13189333,$5.0417,$5.1167,$5.0252
07/24/2023,$4.9167,8604873,$4.7667,$4.9333,$4.7542
07/21/2023,$4.7167,5141089,$4.725,$4.7417,$4.675
07/20/2023,$4.7583,4297566,$4.7917,$4.8417,$4.75
07/19/2023,$4.7333,5149543,$4.7333,$4.7667,$4.6583
07/18/2023,$4.7417,4672209,$4.7083,$4.7917,$4.6833
07/17/2023,$4.7167,4466010,$4.6333,$4.725,$4.55
07/14/2023,$4.6917,4280346,$4.7333,$4.7417,$4.6512
07/13/2023,$4.7417,6528997,$4.7167,$4.7833,$4.70
07/12/2023,$4.625,10036120,$4.625,$4.6792,$4.6167
07/11/2023,$4.5083,6136265,$4.4583,$4.5083,$4.4208
07/10/2023,$4.4667,5600832,$4.425,$4.475,$4.425
07/07/2023,$4.4667,10737735,$4.3667,$4.525,$4.3625
07/06/2023,$4.2917,14152621,$4.3417,$4.3833,$4.2417
07/05/2023,$4.40,7971150,$4.4167,$4.4417,$4.375
07/03/2023,$4.4583,4849960,$4.4417,$4.5333,$4.4208
06/30/2023,$4.35,5014129,$4.35,$4.3708,$4.3167
06/29/2023,$4.3417,4678031,$4.2917,$4.3417,$4.2917
06/28/2023,$4.2917,7894251,$4.3917,$4.4042,$4.2667
06/27/2023,$4.4083,4508412,$4.4583,$4.4625,$4.375
06/26/2023,$4.4083,4043038,$4.375,$4.4333,$4.3583
06/23/2023,$4.3583,3685414,$4.325,$4.3917,$4.30
06/22/2023,$4.375,6034191,$4.4417,$4.4417,$4.3333
06/21/2023,$4.45,4901247,$4.4167,$4.475,$4.4042
06/20/2023,$4.45,7238482,$4.475,$4.50,$4.4083
06/16/2023,$4.4583,8133182,$4.4042,$4.4847,$4.3833
06/15/2023,$4.475,7886721,$4.50,$4.5083,$4.425
06/14/2023,$4.4583,11833494,$4.4083,$4.4917,$4.375
06/13/2023,$4.2917,7459942,$4.3417,$4.35,$4.2792
06/12/2023,$4.2833,6619529,$4.25,$4.2917,$4.1708
06/09/2023,$4.30,5494515,$4.3167,$4.3542,$4.2833
06/08/2023,$4.2917,2001463,$4.2583,$4.30,$4.2333
06/07/2023,$4.2417,8290697,$4.20,$4.2667,$4.1917
06/06/2023,$4.2333,7143795,$4.1833,$4.2625,$4.1833
06/05/2023,$4.2083,3009378,$4.2333,$4.25,$4.175
06/02/2023,$4.1917,9198275,$4.2417,$4.275,$4.175
06/01/2023,$4.025,7413568,$3.9417,$4.0582,$3.925
05/31/2023,$3.9333,6455199,$3.9417,$3.9833,$3.8584
05/30/2023,$4.00,8315058,$4.0667,$4.0667,$3.9583
05/26/2023,$4.1583,7720605,$4.0917,$4.175,$4.0917
05/25/2023,$4.00,11179114,$4.125,$4.125,$3.9792
05/24/2023,$4.0833,9147876,$4.1333,$4.1375,$4.05
05/23/2023,$4.1583,12158364,$4.1833,$4.2333,$4.1417
05/22/2023,$4.175,13415377,$4.0417,$4.2083,$4.0287
05/19/2023,$3.9833,7502969,$3.975,$3.9982,$3.9292
05/18/2023,$4.0333,6162495,$4.025,$4.0417,$3.95
05/17/2023,$4.0417,11158472,$3.9667,$4.0667,$3.9458
05/16/2023,$3.8917,10056510,$4.075,$4.10,$3.8875
05/15/2023,$4.1333,6903383,$4.15,$4.1625,$4.10
05/12/2023,$4.0833,9477058,$4.025,$4.1333,$4.0083
05/11/2023,$4.0333,10957054,$3.9583,$4.075,$3.925
05/10/2023,$4.0667,8447313,$4.2083,$4.2083,$4.0167
05/09/2023,$4.1667,5586789,$4.05,$4.2167,$4.025
05/08/2023,$4.125,6224664,$4.1917,$4.2042,$4.1083
05/05/2023,$4.1417,15055537,$4.00,$4.1583,$3.95
05/04/2023,$3.9167,9967793,$4.0917,$4.1167,$3.9167
05/03/2023,$4.0833,9758544,$3.9917,$4.1333,$3.90
05/02/2023,$4.0167,8260157,$4.1333,$4.1333,$3.96
05/01/2023,$4.075,1659546,$4.1417,$4.1875,$4.0667
04/28/2023,$4.1583,5474785,$4.0417,$4.1833,$4.0292
04/27/2023,$4.05,6450582,$3.9833,$4.075,$3.95
04/26/2023,$3.9333,5518470,$4.0083,$4.0083,$3.9333
04/25/2023,$3.95,8430627,$4.0083,$4.0083,$3.9167
04/24/2023,$4.125,4895464,$4.0917,$4.1583,$4.0583
04/21/2023,$4.1167,3758056,$4.20,$4.2417,$4.0333
04/20/2023,$4.2333,7005160,$4.1833,$4.275,$4.175
04/19/2023,$4.1667,5317775,$4.2167,$4.225,$4.1167
04/18/2023,$4.3417,6283416,$4.30,$4.3792,$4.2958
04/17/2023,$4.375,6717117,$4.4583,$4.4667,$4.3583
04/14/2023,$4.425,13011049,$4.2917,$4.425,$4.2917
04/13/2023,$4.3667,10206334,$4.3083,$4.3833,$4.30
04/12/2023,$4.3083,8540916,$4.325,$4.3667,$4.2792
04/11/2023,$4.275,9717981,$4.225,$4.3333,$4.2125
04/10/2023,$4.025,10314173,$3.9833,$4.0667,$3.9667
04/06/2023,$3.9167,7187385,$3.925,$3.9292,$3.8625
04/05/2023,$3.9417,9329670,$3.9667,$4.0333,$3.9083
04/04/2023,$4.0417,9428204,$4.1417,$4.15,$4.0417
04/03/2023,$4.15,5890399,$4.0833,$4.1833,$4.0667
03/31/2023,$4.1083,9044846,$4.225,$4.25,$4.1083
03/30/2023,$4.1333,9603897,$4.0917,$4.15,$4.0083
03/29/2023,$3.975,6928327,$3.9917,$4.025,$3.925
03/28/2023,$3.9667,5657635,$3.9583,$4.0083,$3.95
03/27/2023,$3.9167,4872196,$3.9167,$3.9292,$3.8667
03/24/2023,$3.8917,8037190,$3.7917,$3.90,$3.7583
03/23/2023,$3.7833,12687685,$3.9333,$3.95,$3.75
03/22/2023,$3.8667,10582344,$3.80,$3.9542,$3.775
03/21/2023,$3.8413,7589416,$3.8651,$3.877,$3.8016
03/20/2023,$3.8016,7805729,$3.8175,$3.8452,$3.7778
03/17/2023,$3.7778,16634847,$3.8492,$3.873,$3.7698
03/16/2023,$3.8968,11707212,$3.8016,$3.9127,$3.7659
03/15/2023,$3.8095,22849810,$3.9444,$3.9444,$3.7341
03/14/2023,$4.0873,12102373,$4.119,$4.1508,$4.0714
03/13/2023,$4.0238,9652219,$4.0873,$4.119,$4.0159
03/10/2023,$4.1032,8253297,$4.1984,$4.2421,$4.0952
03/09/2023,$4.2222,13429483,$4.381,$4.4167,$4.2143
03/08/2023,$4.4286,6595534,$4.3889,$4.4741,$4.381
