Date,Close/Last,Volume,Open,High,Low
07/25/2024,$220.25,100636500,$216.80,$226.00,$216.231
07/24/2024,$215.99,167942900,$225.42,$225.99,$214.71
07/23/2024,$246.38,111928200,$253.60,$255.7594,$245.63
07/22/2024,$251.51,101225400,$244.21,$253.21,$243.75
07/19/2024,$239.20,87403900,$247.79,$249.44,$236.83
07/18/2024,$249.23,110869000,$251.09,$257.14,$247.20
07/17/2024,$248.50,115584800,$252.73,$258.47,$246.182
07/16/2024,$256.56,126332500,$255.31,$258.62,$245.8001
07/15/2024,$252.64,146912900,$255.97,$265.60,$251.73
07/12/2024,$248.23,155955800,$235.80,$251.84,$233.0912
07/11/2024,$241.03,221707300,$263.30,$271.00,$239.65
07/10/2024,$263.26,128519400,$262.80,$267.59,$257.86
07/09/2024,$262.33,160742500,$251.00,$265.61,$250.30
07/08/2024,$252.94,157219600,$247.71,$259.439,$244.57
07/05/2024,$251.52,154501200,$249.81,$252.37,$242.4601
07/03/2024,$246.39,166561500,$234.56,$248.35,$234.25
07/02/2024,$231.26,205047900,$218.89,$231.30,$218.06
07/01/2024,$209.86,135691400,$201.02,$213.23,$200.85
06/28/2024,$197.88,95438070,$199.55,$203.20,$195.26
06/27/2024,$197.42,72746520,$195.17,$198.72,$194.05
06/26/2024,$196.37,95737070,$186.54,$197.755,$186.36
06/25/2024,$187.35,63678270,$184.40,$187.97,$182.01
06/24/2024,$182.58,61992070,$184.97,$188.80,$182.55
06/21/2024,$183.01,63029480,$182.30,$183.95,$180.69
06/20/2024,$181.57,55893140,$184.68,$185.21,$179.66
06/18/2024,$184.86,68982270,$186.56,$187.20,$182.37
06/17/2024,$187.44,109786100,$177.92,$188.81,$177.00
06/14/2024,$178.01,82038190,$185.80,$186.00,$176.92
06/13/2024,$182.47,118984100,$188.39,$191.08,$181.23
06/12/2024,$177.29,90389450,$171.12,$180.55,$169.80
06/11/2024,$170.66,64761930,$173.92,$174.75,$167.41
06/10/2024,$173.79,50869680,$176.06,$178.57,$173.17
06/07/2024,$177.48,56244930,$176.13,$179.35,$175.58
06/06/2024,$177.94,69887020,$174.60,$179.73,$172.73
06/05/2024,$175.00,57953760,$175.35,$176.15,$172.13
06/04/2024,$174.77,60056340,$174.775,$177.755,$174.00
06/03/2024,$176.29,68568920,$178.13,$182.6389,$174.49
05/31/2024,$178.08,67314600,$178.50,$180.32,$173.82
05/30/2024,$178.79,77784760,$178.575,$182.67,$175.38
05/29/2024,$176.19,54782650,$174.19,$178.15,$173.93
05/28/2024,$176.75,59736620,$176.40,$178.25,$173.16
05/24/2024,$179.24,65584480,$174.835,$180.08,$173.73
05/23/2024,$173.74,71975500,$181.80,$181.90,$173.26
05/22/2024,$180.11,88313480,$182.85,$183.80,$178.12
05/21/2024,$186.60,115266500,$175.51,$186.875,$174.71
05/20/2024,$174.95,61727430,$177.56,$177.754,$173.52
05/17/2024,$177.46,77445850,$173.55,$179.63,$172.75
05/16/2024,$174.84,59812220,$174.10,$175.79,$171.43
05/15/2024,$173.99,79662990,$179.90,$180.00,$173.11
05/14/2024,$177.55,86407420,$174.496,$179.49,$174.07
05/13/2024,$171.89,67018900,$170.00,$175.40,$169.00
05/10/2024,$168.47,72627180,$173.05,$173.0599,$167.75
05/09/2024,$171.97,65950290,$175.01,$175.62,$171.37
05/08/2024,$174.72,79969490,$171.59,$176.06,$170.15
05/07/2024,$177.81,75045850,$182.40,$183.26,$177.40
05/06/2024,$184.76,84390250,$183.80,$187.56,$182.20
05/03/2024,$181.19,75491540,$182.10,$184.78,$178.42
05/02/2024,$180.01,89148040,$182.86,$184.60,$176.02
05/01/2024,$179.99,92829720,$182.00,$185.86,$179.01
04/30/2024,$183.28,127031800,$186.98,$190.95,$182.8401
04/29/2024,$194.05,243869700,$188.42,$198.87,$184.54
04/26/2024,$168.29,109815700,$168.85,$172.12,$166.37
04/25/2024,$170.18,126427500,$158.96,$170.88,$158.36
04/24/2024,$162.13,181178000,$162.84,$167.97,$157.51
04/23/2024,$144.68,124545100,$143.33,$147.26,$141.11
04/22/2024,$142.05,107097600,$140.56,$144.44,$138.8025
04/19/2024,$147.05,87074500,$148.97,$150.94,$146.22
04/18/2024,$149.93,96098830,$151.25,$152.20,$148.70
04/17/2024,$155.45,82439720,$157.64,$158.33,$153.78
04/16/2024,$157.11,96999960,$156.742,$158.19,$153.75
04/15/2024,$161.48,100245300,$170.24,$170.69,$161.38
04/12/2024,$171.05,64722670,$172.34,$173.8099,$170.3644
04/11/2024,$174.60,94515990,$172.55,$175.88,$168.51
04/10/2024,$171.76,84532410,$173.04,$174.93,$170.01
04/09/2024,$176.88,103232700,$172.91,$179.22,$171.92
04/08/2024,$172.98,104423300,$169.34,$174.50,$167.79
04/05/2024,$164.90,143157600,$169.08,$170.86,$160.51
04/04/2024,$171.11,123162000,$170.07,$177.19,$168.01
04/03/2024,$168.38,82950140,$164.02,$168.82,$163.28
04/02/2024,$166.63,116650600,$164.75,$167.69,$163.43
04/01/2024,$175.22,81562130,$176.17,$176.75,$170.21
03/28/2024,$175.79,77654840,$177.45,$179.57,$175.30
03/27/2024,$179.83,81804040,$181.41,$181.91,$176.00
03/26/2024,$177.67,113186200,$178.58,$184.25,$177.38
03/25/2024,$172.63,74228620,$168.76,$175.24,$168.73
03/22/2024,$170.83,75580640,$166.69,$171.20,$166.30
03/21/2024,$172.82,73178010,$176.39,$178.18,$171.80
03/20/2024,$175.66,83846730,$173.00,$176.25,$170.82
03/19/2024,$171.32,77271430,$172.36,$172.82,$167.42
03/18/2024,$173.80,108214400,$170.02,$174.72,$165.90
03/15/2024,$163.57,97146830,$163.16,$165.1845,$160.76
03/14/2024,$162.50,126325700,$167.77,$171.17,$160.51
03/13/2024,$169.48,106524500,$173.05,$176.05,$169.15
03/12/2024,$177.54,87391680,$177.77,$179.43,$172.4101
03/11/2024,$177.77,85391530,$175.445,$182.87,$174.80
03/08/2024,$175.34,85544640,$181.50,$182.73,$174.70
03/07/2024,$178.65,102129000,$174.35,$180.04,$173.70
03/06/2024,$176.54,107920900,$179.99,$181.576,$173.70
03/05/2024,$180.74,119660800,$183.05,$184.59,$177.57
03/04/2024,$188.14,134334900,$198.73,$199.75,$186.72
03/01/2024,$202.64,82243120,$200.52,$204.52,$198.50
02/29/2024,$201.88,85906970,$204.18,$205.28,$198.4463
