Date,Close/Last,Volume,Open,High,Low
05/21/2024,$124.63,5549456,$124.46,$125.36,$123.92
05/20/2024,$124.52,5989022,$123.80,$124.68,$123.24
05/17/2024,$123.50,6179367,$123.18,$123.58,$122.08
05/16/2024,$122.16,5159256,$121.94,$122.45,$121.21
05/15/2024,$121.63,6604632,$120.17,$122.09,$119.67
05/14/2024,$120.87,17811220,$116.50,$122.55,$116.13
05/13/2024,$116.37,4139953,$117.13,$117.19,$116.195
05/10/2024,$116.67,4122531,$117.15,$117.63,$115.91
05/09/2024,$116.64,3236316,$117.39,$117.7256,$116.50
05/08/2024,$117.39,4635960,$117.71,$117.98,$117.11
05/07/2024,$117.93,6437743,$118.00,$119.129,$117.29
05/06/2024,$118.34,6052397,$116.33,$118.36,$116.18
05/03/2024,$115.80,4484976,$115.98,$116.21,$115.07
05/02/2024,$114.96,5001045,$115.23,$115.81,$114.26
05/01/2024,$114.63,5583638,$113.91,$116.76,$113.65
04/30/2024,$113.75,6234710,$115.09,$115.52,$113.69
04/29/2024,$116.49,5190565,$116.99,$117.31,$115.29
04/26/2024,$117.21,8355111,$117.04,$119.21,$116.15
04/25/2024,$114.89,6796627,$113.63,$114.99,$112.78
04/24/2024,$115.34,5791761,$115.38,$115.73,$113.88
04/23/2024,$115.09,5494823,$115.17,$115.86,$114.75
04/22/2024,$114.53,7125490,$116.03,$116.335,$114.34
04/19/2024,$114.88,8251495,$116.12,$116.77,$114.46
04/18/2024,$116.00,6662406,$118.76,$118.76,$115.70
04/17/2024,$118.67,5366587,$120.98,$121.04,$118.61
04/16/2024,$120.62,6999959,$120.09,$121.4426,$119.75
04/15/2024,$119.88,5101455,$122.18,$122.47,$119.44
04/12/2024,$121.11,6196877,$121.74,$121.84,$120.415
04/11/2024,$123.24,7315241,$121.72,$123.82,$121.36
04/10/2024,$121.75,4509869,$121.35,$123.08,$121.32
04/09/2024,$123.23,5564905,$124.35,$124.75,$121.24
04/08/2024,$124.35,6119225,$125.00,$125.115,$123.76
04/05/2024,$124.90,4899499,$124.42,$125.995,$124.14
04/04/2024,$124.19,7588298,$127.60,$127.99,$124.03
04/03/2024,$126.24,7429977,$124.26,$126.405,$124.06
04/02/2024,$124.34,4862415,$124.51,$124.93,$123.43
04/01/2024,$125.48,4133571,$125.54,$126.272,$124.56
03/28/2024,$125.61,6587431,$125.39,$126.17,$125.20
03/27/2024,$125.27,8115884,$127.33,$127.82,$124.47
03/26/2024,$126.47,7063930,$126.75,$126.935,$125.84
03/25/2024,$126.08,7446068,$127.67,$127.67,$126.05
03/22/2024,$127.79,6659950,$129.01,$129.205,$127.55
03/21/2024,$129.01,17842360,$130.52,$132.7737,$128.95
03/20/2024,$129.24,8373330,$129.98,$130.69,$128.27
03/19/2024,$129.19,10220950,$127.745,$129.21,$126.49
03/18/2024,$127.80,12231420,$127.20,$128.95,$126.88
03/15/2024,$125.54,17844880,$124.04,$126.01,$123.5586
03/14/2024,$125.53,10965900,$127.23,$127.80,$124.94
03/13/2024,$125.52,15870350,$128.00,$128.80,$124.83
03/12/2024,$127.54,48536080,$126.26,$129.37,$124.60
03/11/2024,$114.13,20438340,$111.61,$114.75,$111.18
03/08/2024,$112.42,8312943,$114.07,$114.33,$111.54
03/07/2024,$114.54,7670135,$113.94,$114.80,$112.29
03/06/2024,$112.27,6706372,$111.50,$113.05,$110.67
03/05/2024,$110.94,8241978,$112.82,$113.20,$110.365
03/04/2024,$114.06,6588062,$113.58,$114.60,$113.39
03/01/2024,$113.78,7605145,$111.68,$113.94,$111.52
02/29/2024,$111.68,12193860,$111.68,$112.4423,$110.635
02/28/2024,$111.68,5278179,$111.26,$112.02,$111.10
02/27/2024,$111.38,6593144,$110.62,$111.51,$109.79
02/26/2024,$110.97,6342943,$112.00,$112.54,$110.93
02/23/2024,$111.95,7504506,$112.00,$113.37,$111.71
02/22/2024,$111.01,8957789,$111.49,$111.885,$109.66
02/21/2024,$108.16,7867610,$106.76,$108.375,$106.51
02/20/2024,$108.45,10975640,$110.54,$110.765,$107.68
02/16/2024,$111.31,8936016,$113.02,$113.11,$111.245
02/15/2024,$112.78,8455623,$114.25,$114.31,$112.57
02/14/2024,$114.26,5946116,$114.32,$114.72,$113.53
02/13/2024,$113.68,8171722,$113.79,$114.21,$113.00
02/12/2024,$115.84,5439629,$116.26,$117.10,$115.38
02/09/2024,$116.64,5787142,$117.06,$117.34,$115.73
02/08/2024,$116.68,4472770,$117.09,$117.7872,$115.97
02/07/2024,$117.27,7672882,$115.80,$117.59,$115.30
02/06/2024,$115.30,4639268,$116.74,$116.95,$114.98
